key,server,nl,fr,de,en
{{first_name}} {{last_name}} is an adult at the start of the tournament. For adults we need following information.,1,{{first_name}} {{last_name}} is een volwassene bij het begin van het toernooi.\nVoor volwassenen hebben we de volgende informatie nodig.,"{{first_name}} {{last_name}} est un adulte au début du tournoi. Pour les adultes, il nous faudrait les informations suivantes",{{first_name}} {{last_name}} ist ein Erwachsener zu Beginn des Turniers. Für Erwachsene benötigen wir folgende Informationen,{{first_name}} {{last_name}} is an adult at the start of the tournament. For adults we need following information.
{{first_name}} is a minor at the start of a tournament. For minors we need following information.,1,{{first_name}} is nog minderjarig bij de start van het toernooi. Voor minderjarigen hebben we het volgende nodig.,"{{first_name}} {{last_name}} est toujours mineur au début du tournoi. Pour les mineurs, il nous faudrait les informations suivantes.",{{first_name}} {{last_name}} ist zu Beginn des Turniers noch minderjährig. Bei Minderjährige benötigen wir folgende Informationen,{{first_name}} is a minor at the start of a tournament. For minors we need following information.
A parent is present at site,,Een ouder is ter plaatse.,Un parent sur place pendant le tournoi,Ein Elternteil ist vor Ort,About Bycco
A photo for your badge,,Een foto voor je badge,Une photo pour le badge,Ein Foto für Ihren Badge,Accomodation
About Bycco,,Over Bycco,Concernant Bycco,Über Bycco,"accomodation details, start date and end date"
Accomodation,,Accomodatie,Logement,Unterkunft,Additional Fields
"accomodation details, start date and end date",,"Verblijfdetails, startdatum en einddatum","Détails du séjour, date de début et de fin","Angaben zur Unterkunft, Start- und Enddatum",Address
Additional Fields,,Bijkomende velden,Champs supplémentaires,Weitere Felder,Address is required
Address,,Adres,Adresse,Adress,Address
Address is required,,Adres is vereist,l'adresse est obligatoire,die Adresse ist erforderlich,Address is required
After the game the parent is picking up the player,,De ouder haalt de speler na de partij op,Après la partie le parent vient chercher le joueur,Der Elternteil holt den Spieler nach der Partie ab,After the game the parent is picking up the player
Although optional it is recommended to provide the details of a club or league representative that is at site during the tournament,,"Hoewel optioneel, is het aangeraden om de details te geven van een club- of ligaverantwoordelijke die tijdens het toernooi ter plaatse is.","Bien que facultatif, il est recommandé de fournir les coordonnées d'un responsable de club ou de ligue, présent sur place pendant le tournoi.","Obwohl optional, wird empfohlen, Angaben zu einem Vereins- oder Ligamanager zu machen, der während des Turniers vor Ort sein wird.   ",Although optional it is recommended to provide the details of a club or league representative that is at site during the tournament
Apartment with 1 room (4 or 5 pers),,Appartement met 1 kamer (4 of 5 pers),Appartement avec 1 chambre (4 ou 5 personnes),Appartement mit 1 Schlafzimmer (4 oder 5 Personen),Apartment with 1 room (4 or 5 pers)
Apartment with 2 rooms (6 or 7 pers),,Appartement met 2 kamers (6 of 7 pers),Appartement avec 2 chambres (6 ou 7 personnes),Appartement mit 2 Schlafzimmer (6 oder 7 Personen),Apartment with 2 rooms (6 or 7 pers)
Arrival date,,Aankomstdatum,Date d'arrivée,Anreisedatum,Arrival date
